episode,reward,loss,time_dependence
0,1650,5.55456230545044,2
1,2880,5.520352981567383,2
2,1515,3.7675862317085267,2
3,345,3.769201063632965,2
4,2505,3.535092721939087,2
5,975,3.608517189741135,2
6,930,3.865111343383789,2
7,735,3.992532552480698,2
8,465,4.192508994102478,2
9,4605,3.864648656845093,2
10,2190,3.788189381122589,2
11,3570,3.229637677907944,2
12,2745,3.1217993516921996,2
13,225,3.310152947664261,2
14,2505,3.2303454208374025,2
15,3135,3.304818572998047,2
16,3420,3.0371415395736694,2
17,1965,2.707623327255249,2
18,2565,2.809088113307953,2
19,3270,3.0346770305633544,2
20,1665,3.0234617228507994,2
21,2025,3.052042537689209,2
22,3015,3.0886344323158266,2
23,2565,2.9679420247077943,2
24,3240,3.12571381521225,2
25,3735,2.911438006401062,2
26,3240,3.1186681327819823,2
27,3870,3.0838997569084166,2
28,1680,3.0507583265304565,2
29,4500,3.0299983413219453,2
30,2265,2.9259383029937744,2
31,2295,3.0896194410324096,2
32,585,3.00267338681221,2
33,2160,3.0808550481796266,2
34,3150,3.0571360297203065,2
35,1215,3.1477192497253417,2
36,4260,2.875082800388336,2
37,3540,3.0683337841033937,2
38,2415,3.211258096933365,2
39,3345,3.0089551980495455,2
40,4275,3.0463045439720156,2
41,975,2.823954927444458,2
42,3450,3.3698318009376527,2
43,4230,3.1433553619384766,2
44,3135,3.3850533900260924,2
45,4950,3.357619031906128,2
46,3990,3.109277830839157,2
47,2085,3.0602531170845033,2
48,4335,3.2389114632606506,2
49,3975,3.0874312696456907,2
50,2415,3.265767750263214,2
51,3120,3.3000824942588807,2
52,3555,2.9061096291542055,2
53,3000,3.1618489499092104,2
54,2190,2.764199990749359,2
55,4515,3.1430652770996095,2
56,4050,3.2094391260147095,2
57,1200,3.1322406167984007,2
58,2280,3.220808093547821,2
59,2835,3.3063696131706237,2
60,1230,3.0689254479408263,2
61,4545,3.130291398048401,2
62,2190,3.05327036523819,2
63,3480,3.381822902202606,2
64,4575,3.177143480300903,2
65,-15,3.1181419749259947,2
66,3225,3.302818902015686,2
67,2805,3.325020700454712,2
68,2970,3.1728319630622863,2
69,4485,3.075062366962433,2
70,4470,3.2441860032081604,2
71,1755,3.1357643513679503,2
72,1800,3.3022891020774843,2
73,3015,3.151338890075684,2
74,3720,3.2419584341049195,2
75,2400,3.1562891373634336,2
76,2505,3.163482421875,2
77,1410,2.987323874950409,2
78,3135,3.220596866607666,2
79,1740,3.3053164982795717,2
80,3015,3.29400310254097,2
81,4710,3.1614313640594482,2
82,3495,3.209177562952042,2
